rent.func,miles.func,num.hubs,Hubs.used,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,cars.shipped,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,cost.hubs,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,total.cost,newcost,total.rent,total.labor
H,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835250,0,0,0,0,0,6051805.287676328,2216555.287676328,3835250,0
M,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962412.5,0,0,0,0,0,5178967.787676328,2216555.287676328,2962412.5,0
L,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420175,0,0,0,0,0,3636730.287676328,2216555.287676328,1420175,0
H,M,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2344450,1529500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5492214.186799828,1618264.1867998284,3873950,0
M,M,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811112.5,1181675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4611051.686799828,1618264.1867998284,2992787.5,0
L,M,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868375,566650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053289.1867998284,1618264.1867998284,1435025,0
H,M,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,968,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902200,975850,0,1070550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5318693.502808597,1370093.5028085972,3948600,0
M,M,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,968,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469500,754062.5,0,827287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4420943.502808597,1370093.5028085972,3050850,0
L,M,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,968,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704600,361675,0,396825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833193.502808597,1370093.5028085972,1463100,0
H,M,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,968,865,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287450,975850,878800,0,878800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5224485.036223815,1203585.0362238146,4020900,0
M,M,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,968,865,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994762.5,754062.5,679250,0,679250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4310910.036223815,1203585.0362238146,3107325,0
L,M,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,968,865,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477075,361675,325900,0,325900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694135.036223815,1203585.0362238146,1490550,0
H,M,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1230,968,599,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,1226350,975850,603150,603150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661900,0,0,0,5131375.864475251,1060975.8644752512,4070400,0
M,M,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1230,968,599,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,947637.5,754062.5,466237.5,466237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511775,0,0,0,4206925.864475251,1060975.8644752512,3145950,0
L,M,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1230,968,599,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,454525,361675,223725,223725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245650,0,0,0,2570275.864475251,1060975.8644752512,1509300,0
H,M,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1230,776,599,596,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,609,0,0,0,1226350,784100,603150,603150,0,0,0,0,0,0,0,0,0,230450,0,0,0,0,0,0,0,661900,0,0,0,5090653.710235769,981553.7102357689,4109100,0
M,M,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1230,776,599,596,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,609,0,0,0,947637.5,606025,466237.5,466237.5,0,0,0,0,0,0,0,0,0,178412.5,0,0,0,0,0,0,0,511775,0,0,0,4157878.710235769,981553.7102357689,3176325,0
L,M,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1230,776,599,596,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,609,0,0,0,454525,290750,223725,223725,0,0,0,0,0,0,0,0,0,85775,0,0,0,0,0,0,0,245650,0,0,0,2505703.710235769,981553.7102357689,1524150,0
