City,State,"City, State",Population,freq,num_cars
New York,New York,"New York, New York",19216182,0.11251799825912603,450
Los Angeles,California,"Los Angeles, California",13214799,0.0773776357278829,310
Chicago,Illinois,"Chicago, Illinois",9458539,0.05538331572504234,222
Dallas,Texas,"Dallas, Texas",7573136,0.04434356956361699,177
Houston,Texas,"Houston, Texas",7066141,0.04137492248651366,165
Washington,District of Columbia,"Washington, District of Columbia",6280487,0.036774621791803574,147
Miami,Florida,"Miami, Florida",6166488,0.03610711462083995,144
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",6102434,0.035732054275320224,143
Atlanta,Georgia,"Atlanta, Georgia",6020364,0.03525150345012891,141
Phoenix,Arizona,"Phoenix, Arizona",4948203,0.02897359613578817,116
Boston,Massachusetts,"Boston, Massachusetts",4873019,0.028533365439538824,114
San Francisco,California,"San Francisco, California",4731803,0.027706492461224988,111
Detroit,Michigan,"Detroit, Michigan",4319629,0.02529305812684696,101
Seattle,Washington,"Seattle, Washington",3979845,0.0233034945641955,93
Minneapolis,Minnesota,"Minneapolis, Minnesota",3654908,0.021400865790158825,86
San Diego,California,"San Diego, California",3338330,0.019547182116009736,78
Tampa,Florida,"Tampa, Florida",3194831,0.018706941311036805,75
Denver,Colorado,"Denver, Colorado",2967239,0.01737430425234372,69
St. Louis,Missouri,"St. Louis, Missouri",2803228,0.016413957945648795,66
Baltimore,Maryland,"Baltimore, Maryland",2800053,0.016395367122327455,66
Charlotte,North Carolina,"Charlotte, North Carolina",2636883,0.015439945188046148,62
Orlando,Florida,"Orlando, Florida",2608147,0.015271685062388813,61
San Antonio,Texas,"San Antonio, Texas",2550960,0.014936833593639991,60
Portland,Oregon,"Portland, Oregon",2492412,0.014594012956217048,58
Pittsburgh,Pennsylvania,"Pittsburgh, Pennsylvania",2317600,0.01357042271796502,54
Las Vegas,Nevada,"Las Vegas, Nevada",2266715,0.013272471837742526,53
Cincinnati,Ohio,"Cincinnati, Ohio",2221208,0.013006011177306544,52
Kansas City,Missouri,"Kansas City, Missouri",2157990,0.012635845927313313,51
Columbus,Ohio,"Columbus, Ohio",2122271,0.012426697701103875,50
Indianapolis,Indiana,"Indianapolis, Indiana",2074537,0.012147197115144545,49
Cleveland,Ohio,"Cleveland, Ohio",2048449,0.011994442028906078,48
Nashville,Tennessee,"Nashville, Tennessee",1934317,0.011326156092745057,45
Norfolk,Virginia,"Norfolk, Virginia",1768901,0.010357582980769348,41
Milwaukee,Wisconsin,"Milwaukee, Wisconsin",1575179,0.009223267555428643,37
Jacksonville,Florida,"Jacksonville, Florida",1559514,0.00913154306808099,37
Oklahoma City,Oklahoma,"Oklahoma City, Oklahoma",1408950,0.008249934021607185,33
Raleigh-Durham,North Carolina,"Raleigh-Durham, North Carolina",1390785,0.008143571090699422,33
Memphis,Tennessee,"Memphis, Tennessee",1346045,0.007881601504747681,32
Richmond,Virginia,"Richmond, Virginia",1291900,0.007564562094122803,30
New Orleans,Louisiana,"New Orleans, Louisiana",1270530,0.0074394326785709765,30
Louisville,Kentucky,"Louisville, Kentucky",1265108,0.007407684822177809,30
Salt Lake City,Utah,"Salt Lake City, Utah",1232696,0.007217900329109686,29
Buffalo,New York,"Buffalo, New York",1127983,0.006604766192905737,26
Birmingham,Alabama,"Birmingham, Alabama",1090435,0.006384908481387723,26
Omaha,Nebraska,"Omaha, Nebraska",949442,0.005559341252239448,22
Albuquerque,New Mexico,"Albuquerque, New Mexico",918018,0.00537534187206628,22
Boise,Idaho,"Boise, Idaho",749202,0.004386860476848821,18
Des Moines,Iowa,"Des Moines, Iowa",699292,0.0040946185896147715,16
Spokane,Washington,"Spokane, Washington",568521,0.003328905028495077,13
Mobile,Alabama,"Mobile, Alabama",429536,0.002515095397214283,10
